24,
"Se você pudesse comprar um equipamento novo para o laboratório hoje, e verba não fosse um problema, que equipamento seria?",
poligrafo (para eeg),electroencephalogram
analise elementar chns-o,CHN-O analyser
microscopio confocal,Confocal microscope
uma maquina propria,computer
hplc-ms,High performance liquid chromatography
citometro de fluxo com imagem (imaging flow cytometer),Imaging flow citometer
,Ion trap mass analyser
ion mobility ou orbitrap,Ion mobility spectrometer
,photo stimulator
eeg quantitativo com foto estimulador,electroencephalogram
hplc,High performance liquid chromatography
,shaker
incubadora com agitacao,Incubator
computadores workstation,computer
,-
,-
analisador de gases,Gas analyser
nn consigo definir apenas um,-
inbody,Inbody
irga,Infra red gas analyser
,Phmeter
"phmetro, autoclave",autoclave
sequenciador illumina,Gene sequencer
drone,drone
hplc acoplado ao massa,High performance liquid chromatography
citometro de fluxo,flux citometer
,3d printer
impressora 3d e sequenciador de dna,Gene sequencer
microscopio eletronico,electron microscope
rmn,Nuclear magnetic resonance spectrophotometer
equipamentos de biologia molecular/epigenetica/gwas,-
,-
capela; vidrarias,Hood
,Glassware
,High performance liquid chromatography
coluna para hplc/espectrometro de massas,Mass spectrometer
nao sei responder,-
detector de espectrometria de massas,Mass spectrometer
,mobile phone
,telescope
"celular top de linha, impressora e telescopio",printer
,-
,spectrophotometer
"hplc, espectrofotometro de absorcao atomica",High performance liquid chromatography
,-
amplificador (kit) brainproducts 64 canais com sistema sem fio,electroencephalogram
montar um laboratorio adequado. faltam praticamente todos os equipamentos por aqui,-
leitor de placa p fluorescencia,Plate reader
,
todos para um laboratorio de qualidade para graduacao em biologia e quimica fisica...,Equipment for undergrad teaching
espectometro de massa,Mass spectrometer
citometria de fluxo,flux citometer
os ja citados,-
espectrofotometro,spectrophotometer
camaras de crescimento de plantas,Incubator
mev-feg,electron microscope
espectrometro de massa,Mass spectrometer
nao sei,-
softwares de terapia e avaliacao de linguagem,software
cromatografo,chromatograph
microscopio,microscope
biorreator,biorreactor
microscopio confocal,Confocal microscope
,-
,-
,-
mais sequenciadores e quantificadores,Gene sequencers
estufa incubadora,incubator
,pneumatic hammer
"martelos pneumaticos, equipamentos para analise histologica",histology tools
,Thermocycler for RT-PCR
,Thermocycler
,DNA quantifier
"real time, um computador com capacidade para analises de bioinformatica, qtof, termocicladores, qubit",computer
,precision pipettes
microscopios e pipetas de precisao,microscope
rt-pcr; ms/ms;,Thermocycler for RT-PCR
termociclador qpcr,Thermocycler for RT-PCR
,patch clamp system
setup de patch clamp com o sistema para medida de fotometria,photometry
"laboratorio completo para ensino fundamental i e ii, com material (experimentoteca e laboratorial) para ensino de quimica, fisica e biologia",Equipment for undergrad teaching
,-
,-
computadores mais modernos,computer
3i vivio,Microscope
capela de fluxo laminar,Laminar flow cabinet
,-
cg-ms,gas chromatography mass spectrometer
,-
sequenciador de nova geracao,Gene sequencer
servidor,server
,-
espectrofotometro,spectrophotometer
a questao muitas vezes nao e o equipamento mas sim os reagentes,-
,-
centrifuga refrigerada,cooling centrifuge
estereomicroscopios com tela,Stereo microscope
shaker,shaker
sequenciador,Gene sequencer
,inverted microscope
termociclador / microscopio invertido,Thermocycler
,Glassware
"microscopios, vidrarias",Microscope
,-
cintilador de fase liquida,liquid scintillator
microscopio eletronico,electron microscope
,3d printer
"microscopio com camera digital, impressora 3d, entre outros",Microscope
,inverted microscope
,Stereo microscope
"incubadora com controle de oxigenio e gas carbonico, microscopio invertido, lupas",incubator
equipamentos para substituir o destilador.,destilator
,pipettes
osmose reversa e pipetas,reverse osmosis pump
,High performance liquid chromatography
cg-ms e hplc-ms,gas chromatography mass spectrometer
,projectors
computadores e projetores com tecnologia mais avancada,computer
ultramicrotomo,Microtome
leitor de placa de elisa,Elisa plate reader
,-
espectrofotometro,spectrophotometer
hplc,High performance liquid chromatography
refletor; ilha de edicao,-
,gas chromatography mass spectrometer
"cg-ms, hplc acoplado a massas",High performance liquid chromatography
centrifuga de eppendorf,centrifuge
dsc,Differential scanning calorimeter
icp-ms,Inductively coupled plasma mass spectrometer
